sentence,sentiment,lem_words,lem_tag,word_tags
The food is reliable and the price is moderate.,1,food be reliable price be moderate,NN VB JJ NN VB JJ,"['food/NN', 'be/VB', 'reliable/JJ', 'price/NN', 'be/VB', 'moderate/JJ']"
the food is decent.,1,food be decent,NN VB JJ,"['food/NN', 'be/VB', 'decent/JJ']"
The location and ambience is Ok but the food is what makes up for it.,1,location ambience be food be make,NN NN VB NN VB VB,"['location/NN', 'ambience/NN', 'be/VB', 'food/NN', 'be/VB', 'make/VB']"
"those rolls were big, but not good and sashimi wasn't fresh.",1,roll be big not good sashimi wasn fresh,NN VB JJ RB JJ NN VB JJ,"['roll/NN', 'be/VB', 'big/JJ', 'not/RB', 'good/JJ', 'sashimi/NN', 'wasn/VB', 'fresh/JJ']"
My son and his girlfriend both wanted cheeseburgers and they were huge!,1,son girlfriend want cheeseburger be huge,NN NN VB NN VB JJ,"['son/NN', 'girlfriend/NN', 'want/VB', 'cheeseburger/NN', 'be/VB', 'huge/JJ']"
The restaurant is cute but not upscale.,1,restaurant be cute not upscale,NN VB JJ RB NN,"['restaurant/NN', 'be/VB', 'cute/JJ', 'not/RB', 'upscale/NN']"
Food was good not great not worth the wait or another visit,1,food be good not great not wait visit,NN VB JJ RB JJ RB NN NN,"['food/NN', 'be/VB', 'good/JJ', 'not/RB', 'great/JJ', 'not/RB', 'wait/NN', 'visit/NN']"
My son and his girlfriend both wanted cheeseburgers and they were huge!,1,son girlfriend want cheeseburger be huge,NN NN VB NN VB JJ,"['son/NN', 'girlfriend/NN', 'want/VB', 'cheeseburger/NN', 'be/VB', 'huge/JJ']"
Amma is nothing special.,1,amma be nothing special,NN VB NN JJ,"['amma/NN', 'be/VB', 'nothing/NN', 'special/JJ']"
"However, go for the ambience, and consider the food just a companion for a trip across the world!",1,however go ambience consider food just companion trip world,RB VB NN VB NN RB NN NN NN,"['however/RB', 'go/VB', 'ambience/NN', 'consider/VB', 'food/NN', 'just/RB', 'companion/NN', 'trip/NN', 'world/NN']"
"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",1,many other reviewer notice order be often slow arrive be particularly true evening be not problem lunch time,JJ JJ NN VB NN VB RB JJ VB VB RB JJ NN VB RB NN NN NN,"['many/JJ', 'other/JJ', 'reviewer/NN', 'notice/VB', 'order/NN', 'be/VB', 'often/RB', 'slow/JJ', 'arrive/VB', 'be/VB', 'particularly/RB', 'true/JJ', 'evening/NN', 'be/VB', 'not/RB', 'problem/NN', 'lunch/NN', 'time/NN']"
"those rolls were big, but not good and sashimi wasn't fresh.",1,roll be big not good sashimi wasn fresh,NN VB JJ RB JJ NN VB JJ,"['roll/NN', 'be/VB', 'big/JJ', 'not/RB', 'good/JJ', 'sashimi/NN', 'wasn/VB', 'fresh/JJ']"
"If only they delivered, they'd make a mint!",1,only deliver make mint,RB VB VB NN,"['only/RB', 'deliver/VB', 'make/VB', 'mint/NN']"
Moderate prices.,1,moderate price,JJ NN,"['moderate/JJ', 'price/NN']"
My son and his girlfriend both wanted cheeseburgers and they were huge!,1,son girlfriend want cheeseburger be huge,NN NN VB NN VB JJ,"['son/NN', 'girlfriend/NN', 'want/VB', 'cheeseburger/NN', 'be/VB', 'huge/JJ']"
The location and ambience is Ok but the food is what makes up for it.,1,location ambience be food be make,NN NN VB NN VB VB,"['location/NN', 'ambience/NN', 'be/VB', 'food/NN', 'be/VB', 'make/VB']"
"Inside is a little cramped, but to be expected.",1,inside be little cramped be expect,NN VB JJ JJ VB VB,"['inside/NN', 'be/VB', 'little/JJ', 'cramped/JJ', 'be/VB', 'expect/VB']"
The food is reliable and the price is moderate.,1,food be reliable price be moderate,NN VB JJ NN VB JJ,"['food/NN', 'be/VB', 'reliable/JJ', 'price/NN', 'be/VB', 'moderate/JJ']"
"Food was okay, nothing great.",1,food be okay nothing great,NN VB JJ NN JJ,"['food/NN', 'be/VB', 'okay/JJ', 'nothing/NN', 'great/JJ']"
"The service is ok, some of the people didn't get what they asked for.",1,service be person didn get ask,NN VB NN VB VB VB,"['service/NN', 'be/VB', 'person/NN', 'didn/VB', 'get/VB', 'ask/VB']"
"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",1,many other reviewer notice order be often slow arrive be particularly true evening be not problem lunch time,JJ JJ NN VB NN VB RB JJ VB VB RB JJ NN VB RB NN NN NN,"['many/JJ', 'other/JJ', 'reviewer/NN', 'notice/VB', 'order/NN', 'be/VB', 'often/RB', 'slow/JJ', 'arrive/VB', 'be/VB', 'particularly/RB', 'true/JJ', 'evening/NN', 'be/VB', 'not/RB', 'problem/NN', 'lunch/NN', 'time/NN']"
"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.",1,wasn thrill have wait line minute guess price pay popular place,VB VB VB VB NN NN NN NN VB JJ NN,"['wasn/VB', 'thrill/VB', 'have/VB', 'wait/VB', 'line/NN', 'minute/NN', 'guess/NN', 'price/NN', 'pay/VB', 'popular/JJ', 'place/NN']"
"If only they delivered, they'd make a mint!",1,only deliver make mint,RB VB VB NN,"['only/RB', 'deliver/VB', 'make/VB', 'mint/NN']"
the food is decent.,1,food be decent,NN VB JJ,"['food/NN', 'be/VB', 'decent/JJ']"
Amma is nothing special.,1,amma be nothing special,NN VB NN JJ,"['amma/NN', 'be/VB', 'nothing/NN', 'special/JJ']"
I had a huge pastrami sandwich on a roll.,1,have huge pastrami sandwich roll,VB JJ NN NN NN,"['have/VB', 'huge/JJ', 'pastrami/NN', 'sandwich/NN', 'roll/NN']"
The location and ambience is Ok but the food is what makes up for it.,1,location ambience be food be make,NN NN VB NN VB VB,"['location/NN', 'ambience/NN', 'be/VB', 'food/NN', 'be/VB', 'make/VB']"
Amma is nothing special.,1,amma be nothing special,NN VB NN JJ,"['amma/NN', 'be/VB', 'nothing/NN', 'special/JJ']"
"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.",1,wasn thrill have wait line minute guess price pay popular place,VB VB VB VB NN NN NN NN VB JJ NN,"['wasn/VB', 'thrill/VB', 'have/VB', 'wait/VB', 'line/NN', 'minute/NN', 'guess/NN', 'price/NN', 'pay/VB', 'popular/JJ', 'place/NN']"
"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",1,many other reviewer notice order be often slow arrive be particularly true evening be not problem lunch time,JJ JJ NN VB NN VB RB JJ VB VB RB JJ NN VB RB NN NN NN,"['many/JJ', 'other/JJ', 'reviewer/NN', 'notice/VB', 'order/NN', 'be/VB', 'often/RB', 'slow/JJ', 'arrive/VB', 'be/VB', 'particularly/RB', 'true/JJ', 'evening/NN', 'be/VB', 'not/RB', 'problem/NN', 'lunch/NN', 'time/NN']"
The food is okay and the prices here are mediocre.,1,food be okay price here be mediocre,NN VB JJ NN RB VB JJ,"['food/NN', 'be/VB', 'okay/JJ', 'price/NN', 'here/RB', 'be/VB', 'mediocre/JJ']"
sometimes i get good food and ok service.,1,sometimes get good food service,RB VB JJ NN NN,"['sometimes/RB', 'get/VB', 'good/JJ', 'food/NN', 'service/NN']"
The food is okay and the prices here are mediocre.,1,food be okay price here be mediocre,NN VB JJ NN RB VB JJ,"['food/NN', 'be/VB', 'okay/JJ', 'price/NN', 'here/RB', 'be/VB', 'mediocre/JJ']"
The food is reliable and the price is moderate.,1,food be reliable price be moderate,NN VB JJ NN VB JJ,"['food/NN', 'be/VB', 'reliable/JJ', 'price/NN', 'be/VB', 'moderate/JJ']"
My son and his girlfriend both wanted cheeseburgers and they were huge!,1,son girlfriend want cheeseburger be huge,NN NN VB NN VB JJ,"['son/NN', 'girlfriend/NN', 'want/VB', 'cheeseburger/NN', 'be/VB', 'huge/JJ']"
The restaurant is cute but not upscale.,1,restaurant be cute not upscale,NN VB JJ RB NN,"['restaurant/NN', 'be/VB', 'cute/JJ', 'not/RB', 'upscale/NN']"
A little noise but I think that was because of our party!,1,little noise think be party,JJ NN VB VB NN,"['little/JJ', 'noise/NN', 'think/VB', 'be/VB', 'party/NN']"
The service was friendly and the atmosphere was casual.,1,service be friendly atmosphere be casual,NN VB JJ NN VB JJ,"['service/NN', 'be/VB', 'friendly/JJ', 'atmosphere/NN', 'be/VB', 'casual/JJ']"
The restaurant is cute but not upscale.,1,restaurant be cute not upscale,NN VB JJ RB NN,"['restaurant/NN', 'be/VB', 'cute/JJ', 'not/RB', 'upscale/NN']"
"those rolls were big, but not good and sashimi wasn't fresh.",1,roll be big not good sashimi wasn fresh,NN VB JJ RB JJ NN VB JJ,"['roll/NN', 'be/VB', 'big/JJ', 'not/RB', 'good/JJ', 'sashimi/NN', 'wasn/VB', 'fresh/JJ']"
The scallion pancakes and fried dumplings were nothing out of the ordinary.,1,scallion pancake fry dumpling be nothing ordinary,NN NN VB NN VB NN JJ,"['scallion/NN', 'pancake/NN', 'fry/VB', 'dumpling/NN', 'be/VB', 'nothing/NN', 'ordinary/JJ']"
It was $14 not really bad for a pound of Pastrami-but it didn't have much taste-I've had better for less elsewhere!,1,be not really bad pound pastrami didn have much taste ve have better less elsewhere,VB RB RB JJ NN NN VB VB JJ NN NN VB RB JJ RB,"['be/VB', 'not/RB', 'really/RB', 'bad/JJ', 'pound/NN', 'pastrami/NN', 'didn/VB', 'have/VB', 'much/JJ', 'taste/NN', 've/NN', 'have/VB', 'better/RB', 'less/JJ', 'elsewhere/RB']"
The restaurant is cute but not upscale.,1,restaurant be cute not upscale,NN VB JJ RB NN,"['restaurant/NN', 'be/VB', 'cute/JJ', 'not/RB', 'upscale/NN']"
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",1,be bit pack weekend vibe be good be best french food find area,VB NN VB NN NN VB JJ VB JJ JJ NN VB NN,"['be/VB', 'bit/NN', 'pack/VB', 'weekend/NN', 'vibe/NN', 'be/VB', 'good/JJ', 'be/VB', 'best/JJ', 'french/JJ', 'food/NN', 'find/VB', 'area/NN']"
It was $14 not really bad for a pound of Pastrami-but it didn't have much taste-I've had better for less elsewhere!,1,be not really bad pound pastrami didn have much taste ve have better less elsewhere,VB RB RB JJ NN NN VB VB JJ NN NN VB RB JJ RB,"['be/VB', 'not/RB', 'really/RB', 'bad/JJ', 'pound/NN', 'pastrami/NN', 'didn/VB', 'have/VB', 'much/JJ', 'taste/NN', 've/NN', 'have/VB', 'better/RB', 'less/JJ', 'elsewhere/RB']"
"Inside is a little cramped, but to be expected.",1,inside be little cramped be expect,NN VB JJ JJ VB VB,"['inside/NN', 'be/VB', 'little/JJ', 'cramped/JJ', 'be/VB', 'expect/VB']"
I'm sure I'll return for a final judgement tho.,1,sure ll return final judgement tho,JJ NN NN JJ NN NN,"['sure/JJ', 'll/NN', 'return/NN', 'final/JJ', 'judgement/NN', 'tho/NN']"
the food is decent.,1,food be decent,NN VB JJ,"['food/NN', 'be/VB', 'decent/JJ']"
sometimes i get good food and ok service.,1,sometimes get good food service,RB VB JJ NN NN,"['sometimes/RB', 'get/VB', 'good/JJ', 'food/NN', 'service/NN']"
"Service is not exactly five star, but thats not really a big deal.",1,service be not exactly star that not really big deal,NN VB RB RB NN VB RB RB JJ NN,"['service/NN', 'be/VB', 'not/RB', 'exactly/RB', 'star/NN', 'that/VB', 'not/RB', 'really/RB', 'big/JJ', 'deal/NN']"
"those rolls were big, but not good and sashimi wasn't fresh.",1,roll be big not good sashimi wasn fresh,NN VB JJ RB JJ NN VB JJ,"['roll/NN', 'be/VB', 'big/JJ', 'not/RB', 'good/JJ', 'sashimi/NN', 'wasn/VB', 'fresh/JJ']"
"Food was okay, nothing great.",1,food be okay nothing great,NN VB JJ NN JJ,"['food/NN', 'be/VB', 'okay/JJ', 'nothing/NN', 'great/JJ']"
A little noise but I think that was because of our party!,1,little noise think be party,JJ NN VB VB NN,"['little/JJ', 'noise/NN', 'think/VB', 'be/VB', 'party/NN']"
It was $14 not really bad for a pound of Pastrami-but it didn't have much taste-I've had better for less elsewhere!,1,be not really bad pound pastrami didn have much taste ve have better less elsewhere,VB RB RB JJ NN NN VB VB JJ NN NN VB RB JJ RB,"['be/VB', 'not/RB', 'really/RB', 'bad/JJ', 'pound/NN', 'pastrami/NN', 'didn/VB', 'have/VB', 'much/JJ', 'taste/NN', 've/NN', 'have/VB', 'better/RB', 'less/JJ', 'elsewhere/RB']"
"Food was just average...if they lowered the prices just a bit, it would be a bigger draw.",1,food be just average lower price just bit be bigger draw,NN VB RB JJ VB NN RB NN VB JJ VB,"['food/NN', 'be/VB', 'just/RB', 'average/JJ', 'lower/VB', 'price/NN', 'just/RB', 'bit/NN', 'be/VB', 'bigger/JJ', 'draw/VB']"
"Bagels are ok, but be sure not to make any special requests!",1,bagel be be sure not make special request,NN VB VB JJ RB VB JJ NN,"['bagel/NN', 'be/VB', 'be/VB', 'sure/JJ', 'not/RB', 'make/VB', 'special/JJ', 'request/NN']"
"Bagels are ok, but be sure not to make any special requests!",1,bagel be be sure not make special request,NN VB VB JJ RB VB JJ NN,"['bagel/NN', 'be/VB', 'be/VB', 'sure/JJ', 'not/RB', 'make/VB', 'special/JJ', 'request/NN']"
"If only they delivered, they'd make a mint!",1,only deliver make mint,RB VB VB NN,"['only/RB', 'deliver/VB', 'make/VB', 'mint/NN']"
Prices are in line.,1,price be line,NN VB NN,"['price/NN', 'be/VB', 'line/NN']"
"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.",1,wasn thrill have wait line minute guess price pay popular place,VB VB VB VB NN NN NN NN VB JJ NN,"['wasn/VB', 'thrill/VB', 'have/VB', 'wait/VB', 'line/NN', 'minute/NN', 'guess/NN', 'price/NN', 'pay/VB', 'popular/JJ', 'place/NN']"
"Food was just average...if they lowered the prices just a bit, it would be a bigger draw.",1,food be just average lower price just bit be bigger draw,NN VB RB JJ VB NN RB NN VB JJ VB,"['food/NN', 'be/VB', 'just/RB', 'average/JJ', 'lower/VB', 'price/NN', 'just/RB', 'bit/NN', 'be/VB', 'bigger/JJ', 'draw/VB']"
"Bagels are ok, but be sure not to make any special requests!",1,bagel be be sure not make special request,NN VB VB JJ RB VB JJ NN,"['bagel/NN', 'be/VB', 'be/VB', 'sure/JJ', 'not/RB', 'make/VB', 'special/JJ', 'request/NN']"
"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",1,many other reviewer notice order be often slow arrive be particularly true evening be not problem lunch time,JJ JJ NN VB NN VB RB JJ VB VB RB JJ NN VB RB NN NN NN,"['many/JJ', 'other/JJ', 'reviewer/NN', 'notice/VB', 'order/NN', 'be/VB', 'often/RB', 'slow/JJ', 'arrive/VB', 'be/VB', 'particularly/RB', 'true/JJ', 'evening/NN', 'be/VB', 'not/RB', 'problem/NN', 'lunch/NN', 'time/NN']"
"However, go for the ambience, and consider the food just a companion for a trip across the world!",1,however go ambience consider food just companion trip world,RB VB NN VB NN RB NN NN NN,"['however/RB', 'go/VB', 'ambience/NN', 'consider/VB', 'food/NN', 'just/RB', 'companion/NN', 'trip/NN', 'world/NN']"
The service was friendly and the atmosphere was casual.,1,service be friendly atmosphere be casual,NN VB JJ NN VB JJ,"['service/NN', 'be/VB', 'friendly/JJ', 'atmosphere/NN', 'be/VB', 'casual/JJ']"
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",1,decor place be very diner ish kind place expect east village not romantic just simple small sparse,NN NN VB RB NN NN NN NN VB JJ NN RB JJ RB JJ JJ JJ,"['decor/NN', 'place/NN', 'be/VB', 'very/RB', 'diner/NN', 'ish/NN', 'kind/NN', 'place/NN', 'expect/VB', 'east/JJ', 'village/NN', 'not/RB', 'romantic/JJ', 'just/RB', 'simple/JJ', 'small/JJ', 'sparse/JJ']"
It was $14 not really bad for a pound of Pastrami-but it didn't have much taste-I've had better for less elsewhere!,1,be not really bad pound pastrami didn have much taste ve have better less elsewhere,VB RB RB JJ NN NN VB VB JJ NN NN VB RB JJ RB,"['be/VB', 'not/RB', 'really/RB', 'bad/JJ', 'pound/NN', 'pastrami/NN', 'didn/VB', 'have/VB', 'much/JJ', 'taste/NN', 've/NN', 'have/VB', 'better/RB', 'less/JJ', 'elsewhere/RB']"
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",1,decor place be very diner ish kind place expect east village not romantic just simple small sparse,NN NN VB RB NN NN NN NN VB JJ NN RB JJ RB JJ JJ JJ,"['decor/NN', 'place/NN', 'be/VB', 'very/RB', 'diner/NN', 'ish/NN', 'kind/NN', 'place/NN', 'expect/VB', 'east/JJ', 'village/NN', 'not/RB', 'romantic/JJ', 'just/RB', 'simple/JJ', 'small/JJ', 'sparse/JJ']"
the food is decent.,1,food be decent,NN VB JJ,"['food/NN', 'be/VB', 'decent/JJ']"
"The service is ok, some of the people didn't get what they asked for.",1,service be person didn get ask,NN VB NN VB VB VB,"['service/NN', 'be/VB', 'person/NN', 'didn/VB', 'get/VB', 'ask/VB']"
"If only they delivered, they'd make a mint!",1,only deliver make mint,RB VB VB NN,"['only/RB', 'deliver/VB', 'make/VB', 'mint/NN']"
Moderate prices.,1,moderate price,JJ NN,"['moderate/JJ', 'price/NN']"
I had a huge pastrami sandwich on a roll.,1,have huge pastrami sandwich roll,VB JJ NN NN NN,"['have/VB', 'huge/JJ', 'pastrami/NN', 'sandwich/NN', 'roll/NN']"
sometimes i get good food and ok service.,1,sometimes get good food service,RB VB JJ NN NN,"['sometimes/RB', 'get/VB', 'good/JJ', 'food/NN', 'service/NN']"
"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",1,many other reviewer notice order be often slow arrive be particularly true evening be not problem lunch time,JJ JJ NN VB NN VB RB JJ VB VB RB JJ NN VB RB NN NN NN,"['many/JJ', 'other/JJ', 'reviewer/NN', 'notice/VB', 'order/NN', 'be/VB', 'often/RB', 'slow/JJ', 'arrive/VB', 'be/VB', 'particularly/RB', 'true/JJ', 'evening/NN', 'be/VB', 'not/RB', 'problem/NN', 'lunch/NN', 'time/NN']"
"Food was okay, nothing great.",1,food be okay nothing great,NN VB JJ NN JJ,"['food/NN', 'be/VB', 'okay/JJ', 'nothing/NN', 'great/JJ']"
"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",1,many other reviewer notice order be often slow arrive be particularly true evening be not problem lunch time,JJ JJ NN VB NN VB RB JJ VB VB RB JJ NN VB RB NN NN NN,"['many/JJ', 'other/JJ', 'reviewer/NN', 'notice/VB', 'order/NN', 'be/VB', 'often/RB', 'slow/JJ', 'arrive/VB', 'be/VB', 'particularly/RB', 'true/JJ', 'evening/NN', 'be/VB', 'not/RB', 'problem/NN', 'lunch/NN', 'time/NN']"
"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",1,however want great food great price don mind decor beat place,RB VB JJ NN JJ NN VB VB NN NN NN,"['however/RB', 'want/VB', 'great/JJ', 'food/NN', 'great/JJ', 'price/NN', 'don/VB', 'mind/VB', 'decor/NN', 'beat/NN', 'place/NN']"
"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",1,however want great food great price don mind decor beat place,RB VB JJ NN JJ NN VB VB NN NN NN,"['however/RB', 'want/VB', 'great/JJ', 'food/NN', 'great/JJ', 'price/NN', 'don/VB', 'mind/VB', 'decor/NN', 'beat/NN', 'place/NN']"
My son and his girlfriend both wanted cheeseburgers and they were huge!,1,son girlfriend want cheeseburger be huge,NN NN VB NN VB JJ,"['son/NN', 'girlfriend/NN', 'want/VB', 'cheeseburger/NN', 'be/VB', 'huge/JJ']"
"However, go for the ambience, and consider the food just a companion for a trip across the world!",1,however go ambience consider food just companion trip world,RB VB NN VB NN RB NN NN NN,"['however/RB', 'go/VB', 'ambience/NN', 'consider/VB', 'food/NN', 'just/RB', 'companion/NN', 'trip/NN', 'world/NN']"
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",1,be bit pack weekend vibe be good be best french food find area,VB NN VB NN NN VB JJ VB JJ JJ NN VB NN,"['be/VB', 'bit/NN', 'pack/VB', 'weekend/NN', 'vibe/NN', 'be/VB', 'good/JJ', 'be/VB', 'best/JJ', 'french/JJ', 'food/NN', 'find/VB', 'area/NN']"
A little noise but I think that was because of our party!,1,little noise think be party,JJ NN VB VB NN,"['little/JJ', 'noise/NN', 'think/VB', 'be/VB', 'party/NN']"
I had a huge pastrami sandwich on a roll.,1,have huge pastrami sandwich roll,VB JJ NN NN NN,"['have/VB', 'huge/JJ', 'pastrami/NN', 'sandwich/NN', 'roll/NN']"
"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",1,many other reviewer notice order be often slow arrive be particularly true evening be not problem lunch time,JJ JJ NN VB NN VB RB JJ VB VB RB JJ NN VB RB NN NN NN,"['many/JJ', 'other/JJ', 'reviewer/NN', 'notice/VB', 'order/NN', 'be/VB', 'often/RB', 'slow/JJ', 'arrive/VB', 'be/VB', 'particularly/RB', 'true/JJ', 'evening/NN', 'be/VB', 'not/RB', 'problem/NN', 'lunch/NN', 'time/NN']"
The food is okay and the prices here are mediocre.,1,food be okay price here be mediocre,NN VB JJ NN RB VB JJ,"['food/NN', 'be/VB', 'okay/JJ', 'price/NN', 'here/RB', 'be/VB', 'mediocre/JJ']"
the food is decent.,1,food be decent,NN VB JJ,"['food/NN', 'be/VB', 'decent/JJ']"
The scallion pancakes and fried dumplings were nothing out of the ordinary.,1,scallion pancake fry dumpling be nothing ordinary,NN NN VB NN VB NN JJ,"['scallion/NN', 'pancake/NN', 'fry/VB', 'dumpling/NN', 'be/VB', 'nothing/NN', 'ordinary/JJ']"
"However, go for the ambience, and consider the food just a companion for a trip across the world!",1,however go ambience consider food just companion trip world,RB VB NN VB NN RB NN NN NN,"['however/RB', 'go/VB', 'ambience/NN', 'consider/VB', 'food/NN', 'just/RB', 'companion/NN', 'trip/NN', 'world/NN']"
The restaurant is cute but not upscale.,1,restaurant be cute not upscale,NN VB JJ RB NN,"['restaurant/NN', 'be/VB', 'cute/JJ', 'not/RB', 'upscale/NN']"
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",1,exception lemon salad have so much pepper eye start food here be decent not great,NN NN NN VB RB JJ NN NN VB NN RB VB JJ RB JJ,"['exception/NN', 'lemon/NN', 'salad/NN', 'have/VB', 'so/RB', 'much/JJ', 'pepper/NN', 'eye/NN', 'start/VB', 'food/NN', 'here/RB', 'be/VB', 'decent/JJ', 'not/RB', 'great/JJ']"
"If only they delivered, they'd make a mint!",1,only deliver make mint,RB VB VB NN,"['only/RB', 'deliver/VB', 'make/VB', 'mint/NN']"
A little noise but I think that was because of our party!,1,little noise think be party,JJ NN VB VB NN,"['little/JJ', 'noise/NN', 'think/VB', 'be/VB', 'party/NN']"
Amma is nothing special.,1,amma be nothing special,NN VB NN JJ,"['amma/NN', 'be/VB', 'nothing/NN', 'special/JJ']"
A little noise but I think that was because of our party!,1,little noise think be party,JJ NN VB VB NN,"['little/JJ', 'noise/NN', 'think/VB', 'be/VB', 'party/NN']"
"Inside is a little cramped, but to be expected.",1,inside be little cramped be expect,NN VB JJ JJ VB VB,"['inside/NN', 'be/VB', 'little/JJ', 'cramped/JJ', 'be/VB', 'expect/VB']"
Moderate prices.,1,moderate price,JJ NN,"['moderate/JJ', 'price/NN']"
"If only they delivered, they'd make a mint!",1,only deliver make mint,RB VB VB NN,"['only/RB', 'deliver/VB', 'make/VB', 'mint/NN']"
